Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Ancistroteuthis lichtensteini	lichtensteini	Animalia	Mollusca	Cephalopoda	Teuthida	Onychoteuthidae	Ancistroteuthis	Ancistroteuthis lichtensteini
Paralacydonia paradoxa	paradoxa	Animalia	Annelida	Polychaeta	Aciculata	Paralacydoniidae	Paralacydonia	Paralacydonia paradoxa
Ornithoteuthis antillarum	antillarum	Animalia	Mollusca	Cephalopoda	Teuthida	Ommastrephidae	Ornithoteuthis	Ornithoteuthis antillarum
Glycera lapidum	lapidum	Animalia	Annelida	Polychaeta	Aciculata	Glyceridae	Glycera	Glycera lapidum
Ehlersileanira incisa	incisa	Animalia	Annelida	Polychaeta	Aciculata	Sigalionidae	Ehlersileanira	Ehlersileanira incisa
Nereis grayi	grayi	Animalia	Annelida	Polychaeta	Aciculata	Nereididae	Nereis	Nereis grayi
Cossura delta	delta	Animalia	Annelida	Polychaeta	Cossurida	Cossuridae	Cossura	Cossura delta
Echinocythereis spinireticulata	spinireticulata	Animalia	Arthropoda	Ostracoda	Podocopida	Trachyleberididae	Echinocythereis	Echinocythereis spinireticulata
Argilloecia posterotruncata	posterotruncata	Animalia	Arthropoda	Ostracoda	Podocopida	Pontocyprididae	Argilloecia	Argilloecia posterotruncata
Raninoides lamarcki	lamarcki	Animalia	Arthropoda	Malacostraca	Decapoda	Raninidae	Raninoides	Raninoides lamarcki
Clibanarius vittatus	vittatus	Animalia	Arthropoda	Malacostraca	Decapoda	Diogenidae	Clibanarius	Clibanarius vittatus
Petrolisthes armatus	armatus	Animalia	Arthropoda	Malacostraca	Decapoda	Porcellanidae	Petrolisthes	Petrolisthes armatus
Farfantepenaeus aztecus	aztecus	Animalia	Arthropoda	Malacostraca	Decapoda	Penaeidae	Farfantepenaeus	Farfantepenaeus aztecus
Goniopsis cruentata	cruentata	Animalia	Arthropoda	Malacostraca	Decapoda	Grapsidae	Goniopsis	Goniopsis cruentata
Raninoides loevis	loevis	Animalia	Arthropoda	Malacostraca	Decapoda	Raninidae	Raninoides	Raninoides loevis
Armases cinereum	cinereum	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Armases	Armases cinereum
Solenocera vioscai	vioscai	Animalia	Arthropoda	Malacostraca	Decapoda	Solenoceridae	Solenocera	Solenocera vioscai
Aristeus antillensis	antillensis	Animalia	Arthropoda	Malacostraca	Decapoda	Aristeidae	Aristeus	Aristeus antillensis
Callinectes bocourti	bocourti	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes	Callinectes bocourti
Bathynomus giganteus	giganteus	Animalia	Arthropoda	Malacostraca	Isopoda	Cirolanidae	Bathynomus	Bathynomus giganteus
Portunus spinicarpus	spinicarpus	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Portunus	Portunus spinicarpus
Nephropsis neglecta	neglecta	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephropsis	Nephropsis neglecta
Nephropsis rosea	rosea	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephropsis	Nephropsis rosea
Plesiopenaeus coruscans	coruscans	Animalia	Arthropoda	Malacostraca	Decapoda	Aristeidae	Plesiopenaeus	Plesiopenaeus coruscans
Munida iris	iris	Animalia	Arthropoda	Malacostraca	Decapoda	Galatheidae	Munida	Munida iris
Ebalia stimpsonii	stimpsonii	Animalia	Arthropoda	Malacostraca	Decapoda	Leucosiidae	Ebalia	Ebalia stimpsonii
Sicyonia brevirostris	brevirostris	Animalia	Arthropoda	Malacostraca	Decapoda	Sicyoniidae	Sicyonia	Sicyonia brevirostris
Iliacantha subglobosa	subglobosa	Animalia	Arthropoda	Malacostraca	Decapoda	Leucosiidae	Iliacantha	Iliacantha subglobosa
Chelonibia patula	patula	Animalia	Arthropoda	Maxillopoda	Sessilia	Chelonibiidae	Chelonibia	Chelonibia patula
Nephropides caribaeus	caribaeus	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephropides	Nephropides caribaeus
Alpheus armillatus	armillatus	Animalia	Arthropoda	Malacostraca	Decapoda	Alpheidae	Alpheus	Alpheus armillatus
